userid,emotion,textindex,total_keystrokes,delete_rate,backspace_rate,typing_speed,avg_dwell_time,avg_flight_time,retry_count,learner_type
19,happy,FI,127,0.0394,0.0,2.129,162.38888888888889,310.0,2,analytical_thinker
19,happy,FR,66,0.0,0.0,15.120967741935486,173.28333333333333,-107.15,5,proficient_learner
19,neutral,FI,297,0.1414,0.0,2.485,152.4375,302.3984375,3,analytical_thinker
19,neutral,FR,191,0.0471,0.0,2.8309196018833065,143.56842105263158,209.67368421052632,3,proficient_learner
25,happy,FI,115,0.0087,0.0,2.136,75.28947368421052,396.2543859649123,0,proficient_learner
25,happy,FR,58,0.0,0.0,1.714587180163545,87.0,496.2307692307692,3,proficient_learner
25,neutral,FI,201,0.005,0.0,2.443,71.82,339.22,1,proficient_learner
25,neutral,FR,80,0.475,0.0,1.3111355043297963,95.34883720930232,667.3488372093024,5,proficient_learner
29,angry,FI,194,0.1082,0.0,3.257,77.57512953367876,230.54922279792743,2,proficient_learner
29,angry,FR,172,0.0407,0.0,4.254472171771204,92.89473684210526,142.15204678362574,2,proficient_learner
29,neutral,FI,213,0.0141,0.0,3.062,99.06280193236717,233.975845410628,2,proficient_learner
29,neutral,FR,91,0.0549,0.0,2.985767839962844,107.58888888888887,227.33333333333337,4,proficient_learner
31,happy,FI,123,0.0325,0.0,2.379,88.67213114754098,334.78688524590166,4,proficient_learner
31,happy,FR,43,0.0233,0.0,3.374849337083166,85.78571428571429,210.52380952380952,0,proficient_learner
31,neutral,FI,653,0.0092,0.0,0.913,92.90923076923076,1006.6630769230768,5,proficient_learner
31,neutral,FR,88,0.0455,0.0114,0.3166676372954399,80.97701149425288,3076.9080459770116,4,proficient_learner
35,neutral,FI,209,0.0191,0.0,3.311,104.88942307692308,197.92307692307693,3,proficient_learner
35,neutral,FR,51,0.0392,0.0,2.634907251264756,96.28,283.24,3,balanced_learner
35,sad,FI,142,0.0211,0.0,2.606,113.7517730496454,271.8723404255319,1,proficient_learner
35,sad,FR,107,0.0,0.0,3.139624429832356,95.16981132075472,223.33962264150944,5,proficient_learner
40,calm,FI,157,0.0,0.0,2.804,79.20394736842105,284.82894736842104,3,proficient_learner
40,calm,FR,64,0.0156,0.0,2.3338656184743884,73.84210526315789,354.63157894736844,3,proficient_learner
40,neutral,FI,204,0.0049,0.0,2.576,79.75862068965517,309.9950738916256,0,proficient_learner
40,neutral,FR,47,0.2128,0.0,1.1009789138603672,76.69565217391305,831.5869565217391,0,proficient_learner
41,calm,FI,155,0.0065,0.0,2.621,101.93506493506491,281.4155844155844,4,balanced_learner
41,calm,FR,142,0.007,0.0,3.1945262585527217,97.354609929078,215.68085106382975,5,proficient_learner
41,neutral,FI,204,0.0098,0.0,3.007,93.0,240.67980295566505,3,proficient_learner
41,neutral,FR,116,0.069,0.0,3.1796502384737684,90.6063829787234,223.89361702127655,5,proficient_learner
41,sad,FI,149,0.0201,0.0,2.878,114.19594594594597,234.88513513513513,3,proficient_learner
41,sad,FR,119,0.0168,0.0,3.3361679858703472,99.31372549019608,200.4313725490196,1,proficient_learner
44,neutral,FI,212,0.0236,0.0,3.324,92.3696682464455,209.50236966824644,4,proficient_learner
44,neutral,FR,118,0.0,0.0,2.5449609772650157,99.23333333333332,293.7,0,proficient_learner
44,sad,FI,140,0.0071,0.0,3.158,110.9136690647482,207.1294964028777,1,proficient_learner
44,sad,FR,68,0.1176,0.0,2.4343276532354756,113.8955223880597,296.8955223880597,1,analytical_thinker
47,angry,FI,178,0.073,0.0,3.858,88.69491525423729,171.38983050847455,0,fast_typer
47,angry,FR,98,0.1224,0.0,4.527137953335655,79.3956043956044,141.4945054945055,4,fast_typer
47,neutral,FI,229,0.0611,0.0,3.545,82.4298245614035,200.609649122807,5,proficient_learner
47,neutral,FR,279,0.0681,0.0,4.906210229263884,78.796992481203,125.02631578947368,2,fast_typer
48,angry,FI,167,0.0419,0.0,3.168,82.74096385542168,234.20481927710844,0,proficient_learner
48,angry,FR,116,0.0345,0.0,3.249964674297019,85.71304347826087,221.98260869565215,0,proficient_learner
48,neutral,FI,214,0.0327,0.0,4.143,92.5774647887324,149.27699530516432,2,proficient_learner
48,neutral,FR,81,0.0123,0.0,3.079647380374947,87.7625,236.95,4,proficient_learner
48,sad,FI,142,0.0141,0.0,2.741,112.6808510638298,253.9787234042553,4,proficient_learner
48,sad,FR,162,0.0123,0.0,3.1177985631015317,108.59627329192548,212.1428571428571,1,proficient_learner
